Track Identifier,Title,Artist,Album,Genre,Track Duration,Track Play Count,Skip Count,Date Added To Library,Release Date,Last Played Date,Favorite Date - Track
182924066,Irreplaceable,Beyoncé,B'Day (Deluxe Edition),Pop,227780.0,0,0,2024-01-06 03:24:17+00:00,2006-09-04T07:00:00Z,,2024-01-06 03:24:16+00:00
182924070,Survivor,Destiny's Child,Survivor,R&B/Soul,254027.0,0,0,2024-01-06 03:24:22+00:00,2001-03-06T12:00:00Z,,2024-01-06 03:24:19+00:00
182924074,Ego,Beyoncé,I AM...SASHA FIERCE (Deluxe Version),Pop,236360.0,0,0,2024-01-06 03:24:24+00:00,2008-11-12T08:00:00Z,,2024-01-06 03:24:21+00:00
182924078,Savage Remix (feat. Beyoncé),Megan Thee Stallion,Savage Remix (feat. Beyoncé) - Single,Hip-Hop/Rap,242001.0,0,0,2024-01-06 03:24:27+00:00,2020-04-29T12:00:00Z,,2024-01-06 03:24:24+00:00
182924082,Until The End Of Time (with Beyoncé),Justin Timberlake,FutureSex/LoveSounds (Deluxe Edition),Pop,322093.0,0,0,2024-01-06 03:24:28+00:00,2007-11-26T08:00:00Z,,2024-01-06 03:24:27+00:00
182924086,If I Were a Boy,Beyoncé,I AM...SASHA FIERCE,Pop,249147.0,0,0,2024-01-06 03:24:32+00:00,2008-10-08T07:00:00Z,,2024-01-06 03:24:30+00:00
182924290,Party (feat. André 3000),Beyoncé,4 (Expanded Edition),Pop,244923.0,0,0,2024-01-06 03:24:34+00:00,2011-06-24T07:00:00Z,,2024-01-06 03:24:33+00:00
182924294,Say My Name,Destiny's Child,The Writing's On the Wall,R&B/Soul,271272.0,0,0,2024-01-06 03:24:38+00:00,1999-07-14T07:00:00Z,,2024-01-06 03:24:34+00:00
182924298,Déjà-vu,Beyoncé,B'Day (Deluxe Edition),Pop,240280.0,0,0,2024-01-06 03:24:38+00:00,2006-06-24T07:00:00Z,,2024-01-06 03:24:37+00:00
182924302,Flawless Remix (feat. Nicki Minaj),Beyoncé,BEYONCÉ (More Only) - EP,Pop,234413.0,0,0,2024-01-06 03:24:43+00:00,2014-08-12T07:00:00Z,,2024-01-06 03:24:39+00:00
182924306,7/11,Beyoncé,BEYONCÉ (More Only) - EP,Pop,213507.0,0,0,2024-01-06 03:24:44+00:00,2014-11-24T08:00:00Z,,2024-01-06 03:24:42+00:00
182924310,Diva,Beyoncé,I AM...SASHA FIERCE,Pop,200613.0,0,0,2024-01-06 03:24:46+00:00,2008-11-12T08:00:00Z,,2024-01-06 03:24:43+00:00
182924314,Halo,Beyoncé,I AM...SASHA FIERCE,Pop,261640.0,0,0,2024-01-06 03:24:49+00:00,2008-11-12T08:00:00Z,,2024-01-06 03:24:47+00:00
182924318,"Me, Myself and I",Beyoncé,Dangerously in Love,Pop,301133.0,0,0,2024-01-06 03:24:53+00:00,2003-06-23T07:00:00Z,,2024-01-06 03:24:49+00:00
182924546,Leave the Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",An Evening with Silk Sonic,R&B/Soul,242096.0,0,0,2024-01-11 12:29:27+00:00,2021-03-05T08:00:00Z,,2024-01-11 12:29:26+00:00
182924590,Hasta la Vista,Jordan Francis & Roshon Bernard Fegan,Camp Rock (Music from the Disney Channel Original Movie),Musicals,155533.0,43,0,2024-03-05 14:16:06+00:00,2008-06-17T12:00:00Z,2024-11-15 22:40:03+00:00,2024-01-29 19:41:50+00:00
182924594,Low (feat. T-Pain),Flo Rida,Mail On Sunday,Hip-Hop/Rap,231400.0,0,0,2024-01-29 20:19:05+00:00,2007-10-09T07:00:00Z,,2024-01-29 20:19:04+00:00
182924598,Soldier (feat. T.I. & Lil Wayne),Destiny's Child,Destiny Fulfilled,R&B/Soul,325573.0,0,0,2024-01-29 23:36:32+00:00,2004-11-16T08:00:00Z,2024-10-02 18:41:16+00:00,2024-01-29 23:36:32+00:00
182924806,Can't Tell Me Nothing,Kanye West,Graduation,Hip-Hop/Rap,271600.0,0,0,2024-02-06 13:24:27+00:00,2007-05-15T07:00:00Z,,2024-02-06 13:24:25+00:00
182924818,Black Skinhead,Kanye West,Yeezus,Hip-Hop/Rap,188313.0,0,0,2024-02-06 20:56:09+00:00,2013-06-18T12:00:00Z,,2024-02-06 20:56:08+00:00
182924822,Blood On the Leaves,Kanye West,Yeezus,Hip-Hop/Rap,360358.0,0,0,2024-02-06 21:12:31+00:00,2013-06-18T12:00:00Z,2024-09-26 17:06:58+00:00,2024-02-06 21:12:30+00:00
182924834,My Love (feat. T.I.),Justin Timberlake,FutureSex/LoveSounds (Deluxe Edition),Pop,276160.0,0,0,2024-02-08 14:49:34+00:00,2006-09-08T07:00:00Z,,2024-02-08 14:49:34+00:00
182924846,Ex-Wives,SIX,Six: The Musical (Studio Cast Recording),Soundtrack,350219.0,0,0,2024-02-13 14:30:32+00:00,2018-08-08T12:00:00Z,,2024-02-13 14:30:31+00:00
182925062,B.E.D.,Jacquees,4275 (Bonus Version),R&B/Soul,236149.0,0,0,2024-02-13 17:55:55+00:00,2016-07-08T12:00:00Z,,2024-02-13 17:55:55+00:00
182925066,Can You Stand the Rain,New Edition,Heart Break,R&B/Soul,297707.0,0,0,2024-02-13 21:05:40+00:00,1988-06-20T12:00:00Z,,2024-02-13 21:05:12+00:00
182925070,If It Isn't Love,New Edition,Heart Break,R&B/Soul,309840.0,0,0,2024-02-13 21:05:41+00:00,1988-06-07T12:00:00Z,,2024-05-09 14:39:24+00:00
182925074,Mr. Telephone Man,New Edition,New Edition,R&B/Soul,239160.0,0,0,2024-02-13 21:05:42+00:00,1984-07-06T12:00:00Z,,2024-02-13 21:05:34+00:00
182925078,You're Not My Kind of Girl,New Edition,Heart Break,R&B/Soul,241693.0,0,0,2024-02-13 21:05:43+00:00,1988-06-20T12:00:00Z,,2024-02-13 21:05:35+00:00
182925082,My Prerogative,Bobby Brown,Don't Be Cruel,Pop,291560.0,0,0,2024-02-13 21:05:54+00:00,1988-06-20T07:00:00Z,,2024-02-13 21:05:53+00:00
182925086,Poison,Bell Biv DeVoe,20th Century Masters - The Millennium Collection: The Best of Bel Biv DeVoe,R&B/Soul,262027.0,0,0,2024-02-13 21:34:12+00:00,1990-02-24T12:00:00Z,,2024-02-13 21:34:11+00:00
182925090,Just a Friend 2002,Mario,Mario,R&B/Soul,214200.0,0,0,2024-02-14 13:05:43+00:00,2002-02-01T08:00:00Z,2024-10-30 14:23:17+00:00,2024-02-14 13:05:42+00:00
182925094,Pon de Replay,Rihanna,Music of the Sun,Pop,247116.0,0,0,2024-02-14 17:41:45+00:00,2005-05-24T07:00:00Z,,2024-02-14 17:41:44+00:00
182925102,Omg (feat. will.i.am),USHER,Raymond v Raymond (Expanded Edition),R&B/Soul,269493.0,0,0,2024-02-14 20:15:00+00:00,2010-03-22T07:00:00Z,,2024-02-14 20:14:59+00:00
182925106,Focused,G Herbo & Southside,Swervo,Rap,163480.0,0,0,2024-02-15 00:55:23+00:00,2018-05-24T07:00:00Z,,2024-02-15 00:55:22+00:00
182925110,Run the World (Girls),Beyoncé,4 (Expanded Edition),Pop,238305.0,0,0,2024-02-15 12:41:33+00:00,2011-04-21T07:00:00Z,,2024-02-15 12:41:32+00:00
182925314,Déjà-vu,Beyoncé,B'Day (Deluxe Edition),Pop,240280.0,0,0,2024-02-15 12:42:03+00:00,2006-06-24T07:00:00Z,2024-10-31 19:57:51+00:00,2024-02-15 12:42:03+00:00
182925318,Diva,Beyoncé,I AM...SASHA FIERCE,Pop,200613.0,0,0,2024-02-15 12:42:15+00:00,2008-11-12T08:00:00Z,,2024-02-15 12:42:14+00:00
182925322,Daddy Lessons (feat. The Chicks),Beyoncé,Daddy Lessons (feat. The Chicks) - Single,Pop,385413.0,0,0,2024-02-15 13:03:27+00:00,2016-11-20T08:00:00Z,,2024-02-15 13:03:26+00:00
182925334,Sorry Not Sorry,Demi Lovato,Tell Me You Love Me,Pop,203760.0,0,0,2024-02-18 23:17:38+00:00,2017-07-11T07:00:00Z,,2024-02-18 23:17:37+00:00
182925350,Every Little Step,Bobby Brown,Don't Be Cruel,Pop,237240.0,0,0,2024-02-22 16:23:10+00:00,1988-06-20T07:00:00Z,,2024-02-22 16:23:09+00:00
182925366,Just That Girl,Drew Seeley,Another Cinderella Story (Original Motion Picture Soundtrack),Soundtrack,197787.0,0,0,2024-02-27 12:43:29+00:00,2008-08-26T12:00:00Z,2024-10-25 13:09:47+00:00,2024-02-27 12:43:28+00:00
182925570,OnE-tWo,Co Cash,Dapper Don - Side A - EP,Hip-Hop/Rap,184962.0,0,0,2024-02-27 20:40:20+00:00,2019-11-15T12:00:00Z,,2024-02-27 20:40:20+00:00
182925574,"Section (feat. K Carbon, Aleza, Gloss Up, Slimeroni & Glorilla)",Hitkidd,"Set the Tone (feat. Aleza, Gloss Up, Slimeroni & Glorilla) - EP",Hip-Hop/Rap,236952.0,0,0,2024-02-27 22:38:57+00:00,2021-09-17T12:00:00Z,,2024-02-27 22:38:56+00:00
182925586,Don't Play With It (feat. Billy B),Lola Brooke,Don't Play With It (feat. Billy B) - Single,Hip-Hop/Rap,131053.0,0,0,2024-02-29 18:20:09+00:00,2021-05-14T12:00:00Z,,2024-02-29 18:20:07+00:00
182925590,Breakin Bad (Okay) [feat. Sheff G],Sleepy Hallow,DON'T SLEEP,Hip-Hop/Rap,131287.0,0,0,2024-02-29 20:54:16+00:00,2019-10-31T12:00:00Z,,2024-02-29 20:54:14+00:00
182925602,VIP *-*,Luísa Sonza & 6LACK,DOCE 22,Pop,176400.0,0,0,2024-03-05 21:14:57+00:00,2021-07-18T12:00:00Z,,2024-03-05 21:14:56+00:00
182925606,K-POP,"Travis Scott, Bad Bunny & The Weeknd",K-POP - Single,Hip-Hop/Rap,185221.0,44,3,2024-05-20 18:02:07+00:00,2023-07-18T07:00:00Z,2024-11-15 23:20:21+00:00,2024-03-08 19:25:12+00:00
182925610,Don't Tell 'Em (feat. YG),Jeremih,Late Nights: The Album,R&B/Soul,266813.0,0,0,2024-03-09 19:34:09+00:00,2014-06-06T12:00:00Z,,2024-03-09 19:34:09+00:00
182925618,rich n***a (feat. Key Glock),Toosii,Thank You For Believing,Hip-Hop/Rap,162181.0,0,0,2024-03-12 00:10:21+00:00,2021-05-07T12:00:00Z,,2024-03-12 00:10:17+00:00
182925826,No Love (feat. Nicki Minaj),August Alsina,No Love (Remix) [feat. Nicki Minaj] - Single,R&B/Soul,276080.0,0,0,2024-03-16 03:13:24+00:00,2014-08-05T12:00:00Z,,2024-03-16 03:13:24+00:00
182925830,Peaches and Cream,112,Part III,R&B/Soul,193093.0,0,0,2024-03-18 14:33:25+00:00,2001-03-20T08:00:00Z,,2024-03-18 14:33:25+00:00
182925834,Nobody's Perfect (feat. Missy Elliott),J. Cole,Cole World: The Sideline Story,Hip-Hop/Rap,190653.0,0,0,2024-03-20 19:07:23+00:00,2011-09-27T12:00:00Z,,2024-03-20 19:07:22+00:00
182925838,Cuffing Season,Eric Bellinger,Cuffing Season,R&B/Soul,168055.0,0,0,2024-03-21 12:37:36+00:00,2015-07-17T07:00:00Z,,2024-03-21 12:37:35+00:00
182925842,How Do I Breathe (Featuring Cassidy),Mario,How Do I Breathe - Single,R&B/Soul,256387.0,0,0,2024-03-22 13:23:26+00:00,2007-08-07T12:00:00Z,,2024-03-22 13:23:26+00:00
182925846,Tru,Lloyd,Tru - LP,R&B/Soul,255640.0,0,0,2024-03-22 13:40:45+00:00,2018-08-31T12:00:00Z,,2024-03-22 13:40:44+00:00
182925850,Worth It,YK Osiris,Worth It - Single,Hip-Hop/Rap,189250.0,0,0,2024-03-22 17:34:02+00:00,2019-02-08T12:00:00Z,,2024-03-22 17:34:01+00:00
182925854,Just Fine,Mary J. Blige,Growing Pains (Deluxe),R&B/Soul,242133.0,0,0,2024-03-22 19:13:15+00:00,2007-10-16T12:00:00Z,,2024-03-22 19:13:14+00:00
182925858,I Don't Mind (feat. Juicy J),USHER,I Don't Mind (feat. Juicy J) - Single,R&B/Soul,251989.0,0,0,2024-03-22 19:23:07+00:00,2014-11-21T08:00:00Z,,2024-03-22 19:22:43+00:00
182925862,Down On Me (feat. 50 Cent),Jeremih,All About You (Deluxe Edition),R&B/Soul,228453.0,0,0,2024-03-22 19:28:55+00:00,2010-09-28T12:00:00Z,,2024-03-22 19:28:54+00:00
182925870,All Eyes On You (feat. Chris Brown & Nicki Minaj),Meek Mill,Dreams Worth More Than Money,Hip-Hop/Rap,223975.0,0,0,2024-03-27 19:38:30+00:00,2015-06-26T07:00:00Z,,2024-03-27 19:38:29+00:00
182925874,Talk Dirty (feat. 2 Chainz),Jason Derulo,Talk Dirty,Pop,177685.0,0,0,2024-03-27 21:07:24+00:00,2013-08-02T07:00:00Z,,2024-03-27 21:07:23+00:00
182925878,Fergalicious (feat. will.i.am),Fergie,The Dutchess (Deluxe),Hip-Hop/Rap,292373.0,0,0,2024-03-27 21:19:50+00:00,2006-09-13T07:00:00Z,,2024-03-27 21:19:50+00:00
182926082,Come Thru,Jacquees,19,R&B/Soul,291500.0,0,0,2024-03-27 21:35:13+00:00,2014-03-25T07:00:00Z,,2024-03-27 21:35:12+00:00
182926090,Closer,Ne-Yo,Year of the Gentleman (Deluxe Edition),R&B/Soul,234360.0,0,0,2024-03-27 22:38:31+00:00,2008-04-15T07:00:00Z,,2024-03-27 22:38:30+00:00
182926094,The Party & The After Party (Original),The Weeknd,House of Balloons (Original),R&B/Soul,459660.0,0,0,2024-03-28 12:12:16+00:00,2011-03-21T12:00:00Z,,2024-03-28 12:12:10+00:00
182926098,Tattooed,Victoria Carbol,We're All Mad Here,Alternative Folk,162000.0,0,0,2024-03-28 13:16:56+00:00,2018-08-28T12:00:00Z,,2024-03-28 13:16:55+00:00
182926102,Hip Hop,August Alsina,This Thing Called Life,R&B/Soul,209306.0,0,0,2024-03-28 15:24:06+00:00,2015-04-21T12:00:00Z,,2024-03-28 15:24:06+00:00
182926110,Carry Out (Featuring Justin Timberlake),Timbaland,Shock Value II (Deluxe Version),Pop,232467.0,0,0,2024-04-04 20:01:09+00:00,2009-12-01T12:00:00Z,,2024-04-04 20:01:08+00:00
182926122,Post To Be (feat. Chris Brown & Jhene Aiko),Omarion,Sex Playlist,R&B/Soul,226581.0,0,0,2024-04-04 21:22:44+00:00,2014-11-11T08:00:00Z,,2024-04-04 21:22:43+00:00
182926126,No Air,Jordin Sparks & Chris Brown,Jordin Sparks (Deluxe Version),Pop,264373.0,19,0,2024-06-29 03:20:09+00:00,2007-11-20T08:00:00Z,2024-10-29 21:22:31+00:00,2024-04-04 21:23:29+00:00
182926130,Yeah Glo!,GloRilla,Yeah Glo! - Single,Hip-Hop/Rap,142703.0,74,3,2024-08-12 03:52:17+00:00,2024-02-08T12:00:00Z,2024-11-20 07:04:34+00:00,2024-04-05 14:17:43+00:00
182926882,Lost In the World (feat. Bon Iver),Kanye West,My Beautiful Dark Twisted Fantasy,Hip-Hop/Rap,256587.0,0,0,2024-04-05 20:15:02+00:00,2010-11-22T08:00:00Z,2024-10-26 02:46:18+00:00,2024-04-05 20:15:01+00:00
182926890,Careless Whisper,George Michael,Ladies & Gentlemen,Pop,300107.0,0,0,2024-04-06 00:15:12+00:00,1984-07-24T07:00:00Z,,2024-04-06 00:15:12+00:00
182926894,Should've Ducked (feat. Pooh Shiesty),Lil Durk,The Voice (Deluxe),Hip-Hop/Rap,192052.0,0,0,2024-04-06 04:04:16+00:00,2021-01-29T08:00:00Z,,2024-04-06 04:04:15+00:00
182926898,Take You Down,Chris Brown,Exclusive (Expanded Edition),R&B/Soul,245933.0,0,0,2024-04-08 18:32:08+00:00,2007-11-06T08:00:00Z,,2024-04-08 18:32:07+00:00
182926902,Too Grown,Tamia,Between Friends,R&B/Soul,235480.0,0,0,2024-04-09 23:48:40+00:00,2006-05-12T07:00:00Z,,2024-04-09 23:48:39+00:00
182927106,HIM,Co Cash & Yo Gotti,"HIM, Not Them",Hip-Hop/Rap,203077.0,0,0,2024-04-12 14:51:28+00:00,2021-09-24T12:00:00Z,,2024-04-12 14:51:26+00:00
182927110,Fetty Wap,Goldenboy Countup,Chicken Man,Hip-Hop/Rap,124547.0,0,0,2024-04-12 15:08:44+00:00,2021-05-21T12:00:00Z,,2024-04-12 15:08:43+00:00
182927114,Goldie,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Edition),Hip-Hop/Rap,192067.0,0,0,2024-04-12 16:30:05+00:00,2012-04-27T12:00:00Z,,2024-04-12 16:30:04+00:00
182927118,Fancy (feat. T.I. & Swizz Beatz),Drake,Thank Me Later,Hip-Hop/Rap,319387.0,0,0,2024-04-12 17:11:26+00:00,2010-06-15T07:00:00Z,,2024-04-12 17:11:25+00:00
182927122,Work Out,J. Cole,Cole World: The Sideline Story,R&B/Soul,235320.0,0,0,2024-04-12 19:08:29+00:00,2011-06-15T12:00:00Z,,2024-04-12 19:08:18+00:00
182927126,Swimming Pools (Drank),Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Hip-Hop/Rap,247960.0,0,0,2024-04-12 19:22:43+00:00,2012-07-31T12:00:00Z,,2024-04-12 19:22:42+00:00
182927130,"Confessions, Pt. II (Confessions Special Edition Version)",USHER,Confessions (Expanded Edition),R&B/Soul,211200.0,0,0,2024-04-15 15:02:52+00:00,2004-03-23T08:00:00Z,,2024-04-15 15:02:51+00:00
182927138,Excuse Me Mama,Mishon,Excuse Me Mama - Single,R&B/Soul,205933.0,0,0,2024-04-16 13:59:17+00:00,2008-01-01T12:00:00Z,,2024-04-16 13:59:16+00:00
182927142,Street Love,Lloyd,Street Love,R&B/Soul,295440.0,0,0,2024-04-16 19:21:13+00:00,2007-03-13T12:00:00Z,,2024-04-16 19:21:12+00:00
182927146,LONDON,BIA & J. Cole,REALLY HER (INTL DELUXE),Rap,250723.0,0,0,2024-04-16 20:09:35+00:00,2022-04-08T12:00:00Z,,2024-04-16 20:09:34+00:00
182927150,Headshot,"Lil Tjay, Polo G & Fivio Foreign",Destined 2 Win,Hip-Hop/Rap,144349.0,0,0,2024-04-16 20:13:06+00:00,2021-03-19T07:00:00Z,,2024-04-16 20:13:06+00:00
182927154,I'm Goin In (feat. Lil Wayne & Young Jeezy),Drake,I'm Goin In (feat. Lil Wayne & Young Jeezy) - Single,Hip-Hop/Rap,225307.0,0,0,2024-04-16 20:43:23+00:00,2009-09-15T12:00:00Z,,2024-04-16 20:43:22+00:00
182927158,Get Up (feat. Chamillionaire),Ciara,The Evolution (Bonus Track Edition),R&B/Soul,261880.0,0,0,2024-04-18 23:12:03+00:00,2006-07-25T07:00:00Z,,2024-04-18 23:12:03+00:00
182927362,Take It Low,Lloyd,Southside,Hip-Hop/Rap,268573.0,0,0,2024-04-19 20:08:51+00:00,2004-07-20T12:00:00Z,,2024-04-19 20:08:50+00:00
182927370,Four Door Aventador,Nicki Minaj,The Pinkprint (Bonus Tracks),Hip-Hop/Rap,182658.0,0,0,2024-04-20 03:18:27+00:00,2014-12-12T12:00:00Z,,2024-04-20 03:18:26+00:00
182927374,She Knows (feat. Juicy J),Ne-Yo,Non-Fiction (Deluxe),R&B/Soul,214726.0,0,0,2024-04-25 18:56:16+00:00,2014-09-16T12:00:00Z,,2024-04-25 18:56:15+00:00
182927378,Hey Daddy (Daddy's Home) [feat. Plies],USHER,Hey Daddy (Daddy's Home) [feat. Plies] - Single,R&B/Soul,256293.0,0,0,2024-04-25 19:08:20+00:00,2009-12-08T12:00:00Z,,2024-04-25 19:08:19+00:00
182927382,Baby Come To Me,Regina Belle,Stay With Me,R&B/Soul,342160.0,0,0,2024-04-25 19:38:15+00:00,1989-08-22T07:00:00Z,,2024-04-25 19:38:15+00:00
182927386,Killing Me Softly With His Song,Fugees,The Score (Expanded Edition),R&B/Soul,298667.0,0,0,2024-04-26 03:22:23+00:00,1996-02-13T08:00:00Z,,2024-04-26 03:22:23+00:00
182927390,Novacane,Frank Ocean,Novacane - Single,Alternative,302347.0,56,2,2024-05-17 20:07:55+00:00,2011-02-16T12:00:00Z,2024-11-29 18:43:53+00:00,2024-04-26 03:41:29+00:00
182927394,Classic Man (feat. Roman GianArthur),Jidenna,Wondaland Presents: The Eephus - EP,Hip-Hop/Rap,222925.0,0,0,2024-04-26 15:49:34+00:00,2015-02-03T12:00:00Z,,2024-04-26 15:49:33+00:00
182927402,Holy Grail (feat. Justin Timberlake),JAY-Z,Magna Carta... Holy Grail,Hip-Hop/Rap,338370.0,0,0,2024-04-29 13:57:05+00:00,2013-07-04T07:00:00Z,,2024-04-29 13:57:05+00:00
182927410,Girl's Around the World (feat. Lil Wayne) [Radio Version],Lloyd,Lessons In Love,R&B/Soul,229800.0,0,0,2024-04-30 15:24:18+00:00,2008-05-12T12:00:00Z,,2024-04-30 15:24:17+00:00
182927414,Dedication to My Ex (Miss That) [feat. Andre 3000 & Lil Wayne],Lloyd,King of Hearts (Deluxe Version),R&B/Soul,236147.0,0,0,2024-04-30 17:17:23+00:00,2011-07-05T12:00:00Z,,2024-04-30 17:17:22+00:00
182927618,Goodies (feat. Petey Pablo),Ciara,Goodies,R&B/Soul,223000.0,0,0,2024-04-30 20:02:21+00:00,2004-06-08T07:00:00Z,,2024-04-30 20:02:20+00:00
182927622,About You,Trey Songz,Trigga Reloaded,R&B/Soul,196900.0,0,0,2024-04-30 20:34:14+00:00,2015-05-18T07:00:00Z,,2024-04-30 20:34:13+00:00
